ARO Accession	ARO Name	CARD Short Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	Matched_CARD_Tokens	Matched_Better_Classes	UniProt	UniParc	PDB	PDB_Links
ARO:3006399	ADC-230	ADC-230	WP_160164837.1	NG_067201.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00135F1951		
ARO:3006400	ADC-231	ADC-231	WP_160164838.1	NG_067202.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00135F19DF		
ARO:3006401	ADC-232	ADC-232	WP_064907116.1	NG_067203.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A1A0HZI4	UPI0007EBBA80		
ARO:3006402	ADC-233	ADC-233	WP_031950434.1	NG_067204.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A009U9U6;A0A013W2E8;A0A014DLE9;A0A014ECM4;A0A014F1E8;A0A014F8B4;A0A014FRE1;A0A014FS65;A0A014FSF8;A0A014G1F0;A0A014GU62;A0A014HJ62;A0A014HNP1;A0A014HWL4;A0A014IE15;A0A014J1A2;A0A014NJ86;A0A014NKZ1;A0A014PZE8;A0A014QIV8;A0A014RCA1;A0A014SCH9;A0A014STU7;A0A014T657;A0A014TBX7;A0A014TTW9;A0A014U484;A0A014UXK3;A0A014V346;A0A014VAW6;A0A014VHZ0;A0A014VV40;A0A014WKX2;A0A014YE94;A0A015F4Q2;A0A015F7P0;A0A015FQV5;A0A029A7F3;A0A029APP4;A0A061VP30;A0A062NU45;A0A062PHB4;A0A062PZS5;A0A062TEN1;A0A1A0ZP95	UPI0004518DC8		
ARO:3006403	ADC-234	ADC-234	WP_159162532.1	NG_067978.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A6G0V829	UPI00132F95C5		
ARO:3006404	ADC-235	ADC-235	WP_132038428.1	NG_067979.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00104C3D05		
ARO:3006405	ADC-236	ADC-236	WP_176673601.1	NG_070226.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00159D1916		
ARO:3006406	ADC-237	ADC-237	WP_086262823.1	NG_071183.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI000A34827E		
ARO:3006407	ADC-238	ADC-238	WP_002058891.1	NG_071184.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A0R0R3X9;A0A335CH91;A0A8F4NJG3;L9M7P6	UPI0002AEB3E0		
ARO:3006408	ADC-239	ADC-239	WP_031981814.1	NG_071185.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A010KLE1;A0A013IQD5;A0A241YJ32;A0A242UES8;A0A335X620;A0A829RYQ1;A0A8B4N2I8	UPI00044A2692		
ARO:3006409	ADC-24	ADC-24	WP_136512061.1	NG_064717.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	Q0VTS6			
ARO:3006410	ADC-240	ADC-240	WP_001211207.1	NG_071186.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A0J1A146			
ARO:3006411	ADC-241	ADC-241	WP_001211198.1	NG_071187.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A009L824;A0A011DZ22;A0A0N2QEW7;A0A0Q1J454;A0A837QJY1;K6M197	UPI0001AEF724		
ARO:3006412	ADC-242	ADC-242	WP_047481394.1	NG_071188.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A098SMC2;A0A506BQG3	UPI0005141BD4		
ARO:3006413	ADC-243	ADC-243	WP_001211199.1	NG_071189.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A5P6FPU9			
ARO:3006414	ADC-244	ADC-244	WP_032017586.1	NG_071190.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A506EJL0;W3ITL5	UPI0003DF3251		
ARO:3006415	ADC-245	ADC-245	WP_032005249.1	NG_071191.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A010L303;A0A013KIV0;A0A062A8J4;A0A0Q1QAX4;A0A1H8S217;A0A242SA63;A0A9X3QJ10;A0AAN4SAT6	UPI00044D625E		
ARO:3006416	ADC-246	ADC-246	WP_031976577.1	NG_071192.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A011GMM5;W3L3R6	UPI0003DFAC39		
ARO:3006417	ADC-247	ADC-247	WP_032058755.1	NG_071193.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A009PJF4			
ARO:3006418	ADC-248	ADC-248	WP_021511005.1	NG_071194.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0AAV3JXH3			
ARO:3006419	ADC-249	ADC-249	WP_001211200.1	NG_071195.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0AAX0TTC0			
ARO:3003868	ADC-25	ADC-25	ABK34773.1	EF016355.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A8QIF8		8FQR;8FQS	https://www.rcsb.org/structure/8FQR;https://www.rcsb.org/structure/8FQS
ARO:3006420	ADC-250	ADC-250	WP_086329657.1	NG_071196.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI000A32C5AF		
ARO:3006421	ADC-251	ADC-251	WP_086443396.1	NG_071197.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI000A3843AD		
ARO:3006422	ADC-252	ADC-252	WP_086399847.1	NG_071198.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A7U2WRI5	UPI000A3A8CFA		
ARO:3006423	ADC-253	ADC-253	WP_086394244.1	NG_071199.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI000A3904EA		
ARO:3006424	ADC-254	ADC-254	WP_031996777.1	NG_071200.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A010IFT7	UPI00044FA52E		
ARO:3006425	ADC-255	ADC-255	WP_022575343.1	NG_071201.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	V6ISJ8	UPI0003B28895		
ARO:3006426	ADC-256	ADC-256	WP_204376223.1	NG_073457.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A892A3R6			
ARO:3007973	ADC-257	ADC-257	QVU28095.1	MZ224611.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007974	ADC-258	ADC-258	QVU28094.1	MZ224612.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007975	ADC-259	ADC-259	UBX38689.1	OK340849.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007976	ADC-260	ADC-260	UCZ39549.1	OK396701.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007977	ADC-261	ADC-261	UGW32408.1	OL774887.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007978	ADC-262	ADC-262	UHO07582.1	OL901271.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007979	ADC-263	ADC-263	UHO07583.1	OL901272.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007980	ADC-264	ADC-264	UHO07591.1	OL901280.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007981	ADC-265	ADC-265	ULU82599.1	OM572561.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3007982	ADC-266	ADC-266	UOU25744.1	ON191578.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00201D0B47		
ARO:3007983	ADC-267	ADC-267	UTQ48801.1	ON960904.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002118C546		
ARO:3007984	ADC-268	ADC-268	UTS94213.1	ON651460.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A334CHE4;A0A383L9K5;A0A9Q8A776	UPI000D01DB65		
ARO:3007985	ADC-269	ADC-269	UTS94214.1	ON651461.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A013L7R7;A0A3A0GWD4	UPI000447A53C		
ARO:3007986	ADC-270	ADC-270	UTS94215.1	ON651462.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI001901490D		
ARO:3007987	ADC-271	ADC-271	UTS94216.1	ON651463.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI001FFF0613		
ARO:3007988	ADC-272	ADC-272	UTS94217.1	ON651464.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021183A44		
ARO:3007989	ADC-273	ADC-273	UTS94218.1	ON651465.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002117543A		
ARO:3007990	ADC-274	ADC-274	UTS94219.1	ON651466.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021179DA1		
ARO:3007991	ADC-275	ADC-275	UTS94220.1	ON651467.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021189228		
ARO:3007992	ADC-276	ADC-276	UTS94221.1	ON651468.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002119548F		
ARO:3007993	ADC-277	ADC-277	UTS94222.1	ON651469.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002118B07D		
ARO:3007994	ADC-278	ADC-278	UTS94223.1	ON651470.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A334Z6S0	UPI000DE6A9A8		
ARO:3007995	ADC-279	ADC-279	UTS94224.1	ON651471.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A334IR63;A0A505XC67	UPI00056EE768		
ARO:3007996	ADC-280	ADC-280	UTS94225.1	ON651472.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A1T0D4Q6	UPI000991A04E		
ARO:3007997	ADC-281	ADC-281	UTS94249.1	ON651496.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002118203A		
ARO:3007998	ADC-282	ADC-282	UTS94250.1	ON651497.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021186D1B		
ARO:3007999	ADC-283	ADC-283	UUM03672.1	OP131856.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021495329		
ARO:3008000	ADC-284	ADC-284	UVU92350.1	OP297826.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI000E1D707B		
ARO:3008001	ADC-285	ADC-285	UVU92353.1	OP297829.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0021D1E785		
ARO:3008002	ADC-286	ADC-286	UZF98454.1	OP745003.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002286D2F5		
ARO:3008003	ADC-287	ADC-287	UZF98456.1	OP745005.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A1C2N094	UPI0008399575		
ARO:3008004	ADC-288	ADC-288	UZF98458.1	OP745007.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0AAE5SFV2	UPI000CE37F2E		
ARO:3008005	ADC-289	ADC-289	UZQ18804.1	OP806904.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3006427	ADC-29	ADC-29	WP_069174569.1	NG_051493.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	B2M1S5			
ARO:3008006	ADC-290	ADC-290	UZQ18805.1	OP806905.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008007	ADC-291	ADC-291	WDE35083.1	OQ408539.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A0H5FQI1;A0A3A4G986;A0A506KXT6;A0A7U4FEX5;A0A7U7JXG1;M4RCE9	UPI0002BB839D		
ARO:3008008	ADC-292	ADC-292	MDE4038918.1	JARCHN010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI00238048DA		
ARO:3008009	ADC-293	ADC-293	WEG44937.1	OQ592373.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI0022900865		
ARO:3008010	ADC-294	ADC-294	WEG44938.1	OQ592374.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins		UPI002432A040		
ARO:3008011	ADC-295	ADC-295	EKU38981.1	AMSS01000044.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	K8ZYI6	UPI00029C91D8		
ARO:3003849	ADC-3	ADC-3	AAO59456.1	AY178995.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	Q83V92			
ARO:3004617	ADC-30	ADC-30	AEL30572.1	JF265068.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A7XM81		8FQV;8FQW	https://www.rcsb.org/structure/8FQV;https://www.rcsb.org/structure/8FQW
ARO:3008012	ADC-302	ADC-302	MDC5490025.1	JAOXAU010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008013	ADC-303	ADC-303	MDC5131430.1	JAOWYO010000004.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008014	ADC-304	ADC-304	MDC5177796.1	JANJCG010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008015	ADC-305	ADC-305	MDC5206348.1	JAOWYW010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008016	ADC-306	ADC-306	MDC5547987.1	JANJEG010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008017	ADC-307	ADC-307	MDC5515369.1	JANJEC010000002.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008018	ADC-308	ADC-308	MDC5119581.1	JANJCP010000016.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008019	ADC-309	ADC-309	MDC4862281.1	JANJBJ010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3003870	ADC-31	ADC-31	ADX04315.1	CP001921.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A095A523;A0A1C9KLQ8;A0A7U4VG44;E8PIZ5	UPI0001F8B08C		
ARO:3008020	ADC-310	ADC-310	MDC5062159.1	JANJCA010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008021	ADC-311	ADC-311	MDC5482482.1	JANJDX010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008022	ADC-312	ADC-312	MDC5528210.1	JANJED010000023.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008023	ADC-313	ADC-313	MDC4557711.1	JANIZI010000005.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008024	ADC-314	ADC-314	MDC5248995.1	JANJCW010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008025	ADC-315	ADC-315	MDC5406861.1	JAOWZW010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008026	ADC-316	ADC-316	MDC4596988.1	JANIZP010000005.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008027	ADC-317	ADC-317	MDC4589794.1	JANIZQ010000004.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008028	ADC-318	ADC-318	MDC4897557.1	JANJBO010000013.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008029	ADC-319	ADC-319	MDC4364731.1	JAOWUQ010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3006428	ADC-32	ADC-32	WP_004739487.1	NG_050717.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A3R9RL37			
ARO:3008030	ADC-320	ADC-320	MDC5360473.1	JAOWZM010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008031	ADC-321	ADC-321	MDC4513545.1	JAOWVC010000002.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008032	ADC-322	ADC-322	MDC4290945.1	JANIXO010000004.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008033	ADC-323	ADC-323	MDC4357889.1	JANIXZ010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008034	ADC-324	ADC-324	MDC5633961.1	JAOYRN010000002.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008035	ADC-325	ADC-325	MDC4671831.1	JANIZX010000006.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008036	ADC-326	ADC-326	MDC5297294.1	JAOXAC010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008037	ADC-327	ADC-327	MDC4416129.1	JANIYJ010000001.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins				
